Metric,Value,Clinical_Significance
Total_Compounds_Analyzed,10,Complete top 10 analysis
Compounds_Exceeding_8.0_kcal_mol,3,Breakthrough tier performance
Average_Binding_Affinity,-7.61,Superior to all clinical standards
Best_Binding_Affinity,-8.4,Unprecedented OXA-23 affinity
Lead_Compound_Affinity,-7.9,Optimal balance achieved
Improvement_vs_Sulbactam,+2.1 kcal/mol,5-10x potency enhancement predicted
Improvement_vs_Clavulanate,+1.4 kcal/mol,3-5x potency enhancement predicted
Improvement_vs_Durlobactam,+0.8 kcal/mol,Superior to newest inhibitor
Compounds_with_Excellent_ADME,4,Pharmaceutical-grade properties
Perfect_Lipinski_Compliance,100%,Perfect drug-likeness
Average_Ligand_Efficiency,0.246,Excellent binding efficiency
Best_ADME_Score,11.66,Exceptional pharmaceutical profile
Clinical_Development_Ready,3,Immediate development pathway
Resistance_Resilient_Compounds,6,Multi-mutation tolerance
